model_id,method,dataset_name,em,acc,count,avg_retrieval_count,complete
NousResearch/Meta-Llama-3-8B-Instruct,flare,hotpotqa,0.058,0.252,500,0.0,
NousResearch/Meta-Llama-3-8B-Instruct,flare,nq,0.044,0.304,500,0.0,
NousResearch/Meta-Llama-3-8B-Instruct,flare,trivia,0.164,0.53,500,0.0,
NousResearch/Meta-Llama-3-8B-Instruct,flare,musique,0.0,0.054,500,0.0,
NousResearch/Meta-Llama-3-8B-Instruct,flare,2wikimultihopqa,0.042,0.254,500,0.0,
NousResearch/Meta-Llama-3-8B-Instruct,flare,average,0.0616,0.2788,2500,0.0,True
NousResearch/Meta-Llama-3-8B-Instruct,dragin,hotpotqa,0.056,0.25,500,0.02,
NousResearch/Meta-Llama-3-8B-Instruct,dragin,nq,0.044,0.304,500,0.004,
NousResearch/Meta-Llama-3-8B-Instruct,dragin,trivia,0.164,0.53,500,0.008,
NousResearch/Meta-Llama-3-8B-Instruct,dragin,musique,0.0,0.052,500,0.02,
NousResearch/Meta-Llama-3-8B-Instruct,dragin,2wikimultihopqa,0.042,0.252,500,0.012,
NousResearch/Meta-Llama-3-8B-Instruct,dragin,average,0.0612,0.2776,2500,0.0128,True
NousResearch/Meta-Llama-3-8B-Instruct,adaptive,hotpotqa,0.044,0.308,500,1.056,
NousResearch/Meta-Llama-3-8B-Instruct,adaptive,nq,0.036,0.28,500,1.036,
NousResearch/Meta-Llama-3-8B-Instruct,adaptive,trivia,0.04,0.456,500,1.02,
NousResearch/Meta-Llama-3-8B-Instruct,adaptive,musique,0.002,0.034,500,1.416,
NousResearch/Meta-Llama-3-8B-Instruct,adaptive,2wikimultihopqa,0.016,0.164,500,1.258,
NousResearch/Meta-Llama-3-8B-Instruct,adaptive,average,0.0276,0.2484,2500,1.1572,True
Qwen/Qwen3-8B,flare,hotpotqa,0.136,0.212,500,0.0,
Qwen/Qwen3-8B,flare,nq,0.144,0.226,500,0.0,
Qwen/Qwen3-8B,flare,trivia,0.364,0.436,500,0.0,
Qwen/Qwen3-8B,flare,musique,0.008,0.036,500,0.0,
Qwen/Qwen3-8B,flare,2wikimultihopqa,0.224,0.262,500,0.0,
Qwen/Qwen3-8B,flare,average,0.1752,0.2344,2500,0.0,True
Qwen/Qwen3-8B,dragin,hotpotqa,0.136,0.212,500,0.0,
Qwen/Qwen3-8B,dragin,nq,0.146,0.228,500,0.002,
Qwen/Qwen3-8B,dragin,trivia,0.364,0.436,500,0.0,
Qwen/Qwen3-8B,dragin,musique,0.008,0.036,500,0.0,
Qwen/Qwen3-8B,dragin,2wikimultihopqa,0.224,0.262,500,0.0,
Qwen/Qwen3-8B,dragin,average,0.1756,0.2348,2500,0.0004,True
Qwen/Qwen3-8B,adaptive,hotpotqa,0.226,0.396,500,1.002,
Qwen/Qwen3-8B,adaptive,nq,0.22,0.352,500,0.912,
Qwen/Qwen3-8B,adaptive,trivia,0.34,0.534,500,0.9,
Qwen/Qwen3-8B,adaptive,musique,0.06,0.134,500,1.068,
Qwen/Qwen3-8B,adaptive,2wikimultihopqa,0.156,0.28,500,0.996,
Qwen/Qwen3-8B,adaptive,average,0.2004,0.3392,2500,0.9756,True
unsloth/gemma-2-9b-it,flare,hotpotqa,0.142,0.264,500,0.0,
unsloth/gemma-2-9b-it,flare,nq,0.188,0.34,500,0.0,
unsloth/gemma-2-9b-it,flare,trivia,0.42,0.594,500,0.0,
unsloth/gemma-2-9b-it,flare,musique,0.022,0.054,500,0.0,
unsloth/gemma-2-9b-it,flare,2wikimultihopqa,0.172,0.31,500,0.0,
unsloth/gemma-2-9b-it,flare,average,0.1888,0.3124,2500,0.0,True
unsloth/gemma-2-9b-it,dragin,hotpotqa,0.142,0.264,500,0.0,
unsloth/gemma-2-9b-it,dragin,nq,0.188,0.34,500,0.0,
unsloth/gemma-2-9b-it,dragin,trivia,0.42,0.594,500,0.0,
unsloth/gemma-2-9b-it,dragin,musique,0.022,0.054,500,0.0,
unsloth/gemma-2-9b-it,dragin,2wikimultihopqa,0.172,0.31,500,0.0,
unsloth/gemma-2-9b-it,dragin,average,0.1888,0.3124,2500,0.0,True
unsloth/gemma-2-9b-it,adaptive,hotpotqa,0.172,0.392,500,1.17,
unsloth/gemma-2-9b-it,adaptive,nq,0.152,0.372,500,0.916,
unsloth/gemma-2-9b-it,adaptive,trivia,0.356,0.568,500,0.952,
unsloth/gemma-2-9b-it,adaptive,musique,0.076,0.13,500,2.064,
unsloth/gemma-2-9b-it,adaptive,2wikimultihopqa,0.154,0.298,500,1.108,
unsloth/gemma-2-9b-it,adaptive,average,0.182,0.352,2500,1.242,True
